year,section,field,label,raw_preview
2024-2025,C,C6,-C7: Basis for Selection,"C6-C7: Basis for Selection C6 Do you have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? If so, check which applies: Open admission policy a"
2024-2025,C,C7,"Relative importance of each of the following academic and nonacademic factors in your first-time, first-year, degree-seeking","C7 Relative importance of each of the following academic and nonacademic factors in your first-time, first-year, degree-seeking general (not including programs with specific criteria) admissions decisions. Academic Very Important Important Considered Not Considered Rigor of secondary school record X"
2024-2025,C,C8,"Does your institution make use of SAT, ACT, or SAT Subject Test scores in admission","C8 Does your institution make use of SAT, ACT, or SAT Subject Test scores in admission decisions for first-time, first-year, degree-seeking applicants? X"
2024-2025,C,C8A,"If yes, please enter your institution’s policies for use in admission for students applying for Fall 2026","C8A If yes, please enter your institution’s policies for use in admission for students applying for Fall 2026 Not required for Not considered Required to be admission, but for admission, considered for Required for considered if even if admission some Recommended submitted submitted SAT or ACT X ACT"
2024-2025,C,C8B,Has been removed from the CDS.,C8B Has been removed from the CDS.
2024-2025,C,C8C,Has been removed from the CDS.,C8C Has been removed from the CDS. CDS-C Page 11 Yes No
2024-2025,C,C8D,,"C8D In addition, does your institution use applicants' test scores for academic advising? X"
2024-2025,C,C8E,Latest date by which SAT or ACT scores must be received for fall-term admission                                      Jan. 31,C8E Latest date by which SAT or ACT scores must be received for fall-term admission Jan. 31 Latest date by which SAT Subject Test scores must be received for fall-term admission
2024-2025,C,C8F,"If necessary, use this space to clarify your test policies (e.g., if tests are recommended for some students, or if tests are not","C8F If necessary, use this space to clarify your test policies (e.g., if tests are recommended for some students, or if tests are not required of some students due to differences by academic program, student academic background, or if other examinations may be considered in lieu of the SAT and ACT):"
2024-2025,C,C8G,"Please indicate which tests your institution uses for placement (e.g., state tests):","C8G Please indicate which tests your institution uses for placement (e.g., state tests): X SAT X CLEP X ACT X Institutional Exam X AP State Exam (specify):"
2024-2025,C,C9,"-C12: First-time, first-year Profile","C9-C12: First-time, first-year Profile Provide information for ALL enrolled, degree-seeking, full-time and part-time, first-time, first-year students enrolled in Fall 2024, including students who began studies during summer, international students/nonresidents, and students admitted under special ar"
2024-2025,C,C10,"Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the following","C10 Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the following ranges (report information for those students from whom you collected high school rank information) Percent in top tenth of high school graduating class 77% Percent in top q"
2024-2025,C,C11,"Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point averages within","C11 Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point averages within each of the following ranges (using 4.0 scale). Report information only for those students from whom you collected high school GPA. Percent who had GPA of 4.0 97% Percent w"
2024-2025,C,C12,"Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA:","C12 Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA: 4.49 Percent of total first-time, first-year students who submitted high school GPA: 93%"
2024-2025,C,C13,-C20: Admission Policies,C13-C20: Admission Policies Application Fee C13 If your institution has waived its application fee for the Fall 2026 admission cycle please select no. Yes No Does your institution have an application fee? X Amount of application fee: $85 Can it be waived for applicants with financial need? X If you 
2024-2025,C,C14,Application closing date                                                                            Yes                 No,C14 Application closing date Yes No Does your institution have an application closing date? X Application closing date (fall): Jan. 15 Priority date: Oct. 15 Yes No
2024-2025,C,C15,"Are first-time, first-year students accepted for terms other than the fall?                                             X","C15 Are first-time, first-year students accepted for terms other than the fall? X"
2024-2025,C,C16,Notification to applicants of admission decision sent (fill in one only),C16 Notification to applicants of admission decision sent (fill in one only) On a rolling basis beginning (date): X By (date): Jan. 31 for early action; Mar. 31 for regular Other: CDS-C Page 14
2024-2025,C,C17,Reply policy for admitted applicants (fill in one only),"C17 Reply policy for admitted applicants (fill in one only) X Must reply by (date): May 1 No set date: Must reply by May 1 or within _____ weeks if notified thereafter Other: Deadline for housing deposit (MM/DD): 05/15 Amount of housing deposit: $250 Refundable if student does not enroll? Yes, in fu"
2024-2025,C,C18,Deferred admission                                                                                  Yes   No,"C18 Deferred admission Yes No Does your institution allow students to postpone enrollment after admission? X If yes, maximum period of postponement: 1 year"
2024-2025,C,C19,Early admission of high school students                                                             Yes   No,"C19 Early admission of high school students Yes No Does your institution allow high school students to enroll as full-time, first-time, first-year (freshman) students one year or more before high school graduation? X"
2024-2025,C,C20,Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle),C20 Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle) Early Decision and Early Action Plans
2024-2025,C,C21,Early Decision                                                                                      Yes   No,"C21 Early Decision Yes No Does your institution offer an early decision plan (an admission plan that permits students to apply and be notified of an admission decision well in advance of the regular notification date and that asks students to commit to attending if accepted) for first-time, first-ye"
2024-2025,C,C22,Early action                                                                                    Yes   No,"C22 Early action Yes No Do you have a nonbinding early action plan whereby students are notified of an admission decision well in advance of the regular notification date but do not have to commit to attending your college? X If “yes,” please complete the following: Early action closing date Oct. 15"
2024-2025,D,D1,-D2: Fall Applicants,"D1-D2: Fall Applicants Yes No D1 Does your institution enroll transfer students? (If no, please skip to Section E) X If yes, may transfer students earn advanced standing credit by transferring credits earned from course work completed at other colleges/universities? X"
2024-2025,D,D2,,"D2 Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer students in Fall 2024. If your institution collects and reports non-binary gender data, please use the ""Another Gender"" category. Applied Admitted Enrolled Men 2,325 795 441 Women 2,367 918 539 Anot"
2024-2025,D,D3,-D11: Application for Admission,D3-D11: Application for Admission D3 Indicate terms for which transfers may enroll: X Fall Winter Spring X* Summer *(See D11 Note) Yes No
2024-2025,D,D4,Must a transfer applicant have a minimum number of credits completed,"D4 Must a transfer applicant have a minimum number of credits completed or else must apply as an entering first-year student? X* If yes, what is the minimum number of credits and the unit of measure?"
2024-2025,D,D5,Indicate all items required of transfer students to apply for admission:,D5 Indicate all items required of transfer students to apply for admission: Required Recommended Recommended of Required of All of All Some of Some Not Required High school transcript X College transcript(s) X Essay or personal statemen X Interview X Standardized test scores X Statement of good stan
2024-2025,D,D6,"If a minimum high school GPA is required of transfer applicants, specify (on a 4.0 scale):                   N/A","D6 If a minimum high school GPA is required of transfer applicants, specify (on a 4.0 scale): N/A"
2024-2025,D,D7,"If a minimum college GPA is required of transfer applicants, specify (on a 4.0 scale):                       2.00","D7 If a minimum college GPA is required of transfer applicants, specify (on a 4.0 scale): 2.00"
2024-2025,D,D8,List any other application requirements specific to transfer applicants:,D8 List any other application requirements specific to transfer applicants: Requirements may vary by department. CDS-D Page 17
2024-2025,D,D9,"List application priority, closing, notification, and candidate reply dates for transfer students. If applications are reviewed on","D9 List application priority, closing, notification, and candidate reply dates for transfer students. If applications are reviewed on a continuous or rolling basis, place a check mark in the “Rolling admission” column. Priority Notification Date Closing Date Date Reply Date Rolling Admission Fall Fe"
2024-2025,D,D10,"Does an open admission policy, if reported, apply to transfer students?","D10 Does an open admission policy, if reported, apply to transfer students?"
2024-2025,D,D11,"Describe additional requirements for transfer admission, if applicable:","D11 Describe additional requirements for transfer admission, if applicable: * If a transfer student applies with fewer than 15 transferable hours, the student is considered a transfer with first-year standing. A student who has attempted any college credit after graduating from high school (with the"
2024-2025,D,D12,Report the lowest grade earned for any course that may be transferred for credit:,D12 Report the lowest grade earned for any course that may be transferred for credit: 2.00 Number Unit Type Maximum number of credits or courses that may be transferred from a two-year
2024-2025,D,D13,,D13 institution: 75 semester hours Maximum number of credits or courses that may be transferred from a four-year
2024-2025,D,D14,,D14 institution: 75 semester hours Minimum number of credits that transfers must complete at your institution to
2024-2025,D,D15,,D15 earn an associate degree: N/A Minimum number of credits that transfers must complete at your institution to
2024-2025,D,D16,,D16 earn a bachelor’s degree: 45 semester hours
2024-2025,D,D17,Describe other transfer credit policies:,D17 Describe other transfer credit policies: Military Service Transfer Credit Policies
2024-2025,D,D18,Does your institution accept the following military/veteran transfer credits:                      Yes                   No,D18 Does your institution accept the following military/veteran transfer credits: Yes No American Council on Education (ACE) X College Level Examination Program (CLEP) X* DANTES Subject Standardized Tests (DSST) X CDS-D Page 18 Number Unit Type Maximum number of credits or courses that may be transf
2024-2025,D,D19,,D19 education evaluated by the American Council on Education (ACE): 75 semester hours Maximum number of credits or courses that may be transferred based on
2024-2025,D,D20,Department of Defense supported prior learning assessments (College Level,D20 Department of Defense supported prior learning assessments (College Level Examination Program (CLEP) or DANTES Subject Standardized Tests (DSST)): Yes No
2024-2025,D,D21,Are the military/veteran credit transfer policies on your website?                       X,"D21 Are the military/veteran credit transfer policies on your website? X If yes, please provide the URL where they can be located: https://admissions.unc.edu/credit-table/military-service-credit/"
2024-2025,D,D22,Describe other military/veteran transfer credit policies unique to your institution:,"D22 Describe other military/veteran transfer credit policies unique to your institution: * CLEP is accepted for French, Spanish, Precalculus, and College Algebra only CDS-D Page 19"
2024-2025,E,E1,Special study options: Identify those programs available at your institution. Refer to the glossary for definitions.,E1 Special study options: Identify those programs available at your institution. Refer to the glossary for definitions. Accelerated program Comprehensive transition and postsecondary program for students with intellectual disabilities X Cross-registration X Distance learning X Double major X Dual en
2024-2025,E,E2,Has been removed from the CDS.,E2 Has been removed from the CDS.
2024-2025,E,E3,Areas in which all or most students are required to complete some course work prior to graduation:,E3 Areas in which all or most students are required to complete some course work prior to graduation: X Arts/fine arts Computer literacy X English (including composition) X Foreign languages X History X Physical Education X Humanities Intensive writing X Mathematics Philosophy X Sciences (biological
2024-2025,F,F1,"Percentages of first-time, first-year degree-seeking students and degree-seeking undergraduates enrolled in Fall 2024 who fit","F1 Percentages of first-time, first-year degree-seeking students and degree-seeking undergraduates enrolled in Fall 2024 who fit the following categories: First-time, first-years Undergraduates Percent who are from out of state (exclude international/nonresident aliens from the numerator and denomin"
2024-2025,F,F2,Activities offered. Identify those programs available at your institution.,F2 Activities offered. Identify those programs available at your institution. X Campus Ministries X Musical theater X Choral groups X Opera X Concert band X Pep band X Dance X Radio station X Drama/theater X Student government X International Student Organization X Student newspaper X Jazz band X St
2024-2025,F,F3,ROTC (program offered in cooperation with Reserve Officers' Training Corps),F3 ROTC (program offered in cooperation with Reserve Officers' Training Corps) At Cooperating Name of Cooperating On Campus Institution Institution Army ROTC is offered: X Naval ROTC is offered: X Air Force ROTC is offered: X
2024-2025,F,F4,"Housing: Check all types of college-owned, -","F4 Housing: Check all types of college-owned, - X Coed dorms X Men's dorms X Women's dorms X Apartments for married students X Apartments for single students Other Housing Options: X Special housing for disabled students X Special housing for international students X Fraternity/sorority housing Coop"
2024-2025,G,G0,Please provide the URL of your institution’s net price calculator:,G0 Please provide the URL of your institution’s net price calculator: https://studentaid.unc.edu/net-price-calculator/ Provide 2024-2025 academic year costs of attendance for the following categories that are applicable to your institution. Check here if your institution's 2025-2026 academic year co
2024-2025,G,G1,"Undergraduate full-time tuition, required fees, food and housing","G1 Undergraduate full-time tuition, required fees, food and housing List the typical tuition, required fees, and food and housing for a full-time undergraduate student for the FULL 2025-2026 academic year. (30 semester hours or 45 quarter hours for institutions that derive annual tuition by multiply"
2024-2025,G,G2,Number of credits per term a student can take for the stated full-time tuition                       12,G2 Number of credits per term a student can take for the stated full-time tuition 12 CDS-G Page 22 Yes No
2024-2025,G,G3,"Do tuition and fees vary by year of study (e.g., sophomore, junior, senior)?                               X","G3 Do tuition and fees vary by year of study (e.g., sophomore, junior, senior)? X"
2024-2025,G,G4,Do tuition and fees vary by undergraduate instructional program?                                  X,"G4 Do tuition and fees vary by undergraduate instructional program? X If yes, what percentage of full-time undergraduates pay more than the tuition and fees reported in G1?"
2024-2025,G,G5,Provide the estimated expenses for a typical full-time undergraduate student:,"G5 Provide the estimated expenses for a typical full-time undergraduate student: Commuters Commuters Residents (living at home) (not living at home) Books and supplies $622 $622 $622 Housing only $3,540 $8,570 Board only $2,050 $6,468 Food and Housing total* Transportation $1,050 $1,050 $1,050 Other"
2024-2025,G,G6,Undergraduate per-credit-hour charges (tuition only),"G6 Undergraduate per-credit-hour charges (tuition only) PRIVATE INSTITUTIONS: PUBLIC INSTITUTIONS: In-district: $293 In-state (out-of-district): $293 Out-of-state: $1,798 US NONRESIDENTS: $1,798 CDS-G Page 23"
2024-2025,H,H1,Enter total dollar amounts awarded to enrolled full-time and less than full-time degree-seeking undergraduates (using the,"H1 Enter total dollar amounts awarded to enrolled full-time and less than full-time degree-seeking undergraduates (using the same cohort reported in CDS Question B1, “total degree-seeking” undergraduates) in the following categories. • If the data being reported are final figures for the 2023-2024 a"
2024-2025,H,H2,Number of Enrolled Students Awarded Aid: List the number of degree-seeking full-time and less-than-full-time undergraduates,H2 Number of Enrolled Students Awarded Aid: List the number of degree-seeking full-time and less-than-full-time undergraduates who applied for and were awarded financial aid from any source. • Aid that is non-need-based but that was used to meet need should be counted as need-based aid. • Numbers sh
2024-2025,H,H2A,Number of Enrolled Students Awarded Non-need-based Scholarships and Grants: List the number of degree-seeking full-time,H2A Number of Enrolled Students Awarded Non-need-based Scholarships and Grants: List the number of degree-seeking full-time and less-than-full-time undergraduates who had no financial need and who were awarded institutional non-need-based scholarship or grant aid. • Numbers should reflect the cohort
2024-2025,H,H4,Provide the number of students in the 2024 undergraduate class who started at your institution,"H4 Provide the number of students in the 2024 undergraduate class who started at your institution as first-time students and received a bachelor's degree between July 1, 2023 and June 30, 2024. 4,244 Exclude students who transferred into your institution. Number and percent of students in class (def"
2024-2025,H,H5,,"H5 and the average (or mean) amount borrowed. • The “Average per-undergraduate-borrower cumulative principal borrowed,” is designed to provide better information about student borrowing from federal and nonfederal (institutional, state, commercial) sources. • The numbers, percentages, and averages f"
2024-2025,H,H6,Indicate your institution’s policy regarding institutional scholarship and grant aid for undergraduate degree-seeking,H6 Indicate your institution’s policy regarding institutional scholarship and grant aid for undergraduate degree-seeking nonresidents: Institutional need-based scholarship or grant aid is available Institutional non-need-based scholarship or grant aid is available X Institutional scholarship or gran
2024-2025,H,H7,Check off all financial aid forms nonresident first-year financial aid applicants must submit:,H7 Check off all financial aid forms nonresident first-year financial aid applicants must submit: Institution’s own financial aid form CSS/Financial Aid PROFILE Other (specify): CDS-H Page 28 Process for First-Year Students
2024-2025,H,H8,Check off all financial aid forms domestic first-year financial aid applicants must submit:,H8 Check off all financial aid forms domestic first-year financial aid applicants must submit: X FAFSA Institution's own financial aid form X CSS PROFILE State aid form Noncustodial PROFILE Business/Farm Supplement Other (specify):
2024-2025,H,H9,Indicate filing dates for first-year students:,H9 Indicate filing dates for first-year students: Priority date for filing required financial aid forms: 3/1 Deadline for filing required financial aid forms: No deadline for filing required forms (applications processed on a rolling basis)
2024-2025,H,H10,Indicate notification dates for first-year students (answer a or b):,"H10 Indicate notification dates for first-year students (answer a or b): a) Students notified on or about (date): Yes No b) Students notified on a rolling basis: If yes, starting date: 1/31"
2024-2025,H,H11,Indicate reply dates:,H11 Indicate reply dates: Students must reply by (date): 5/1 or within _______ weeks of notification. Types of Aid Available Please check off all types of aid available to undergraduates at your institution:
2024-2025,H,H12,Loans,H12 Loans X Federal Direct Subsidized Loans X Federal Direct Unsubsidized Loans X Federal Direct PLUS Loans X Federal Nursing Loans X State Loans X College/university loans from institutional funds X Other (specify): alternative loans
2024-2025,H,H13,Need Based Scholarships and Grants,H13 Need Based Scholarships and Grants X Federal Pell X Federal SEOG X State scholarships/grants X Private scholarships X College/university scholarship or grant aid from institutional funds United Negro College Fund Federal Nursing Scholarship X Other (specify): state grants CDS-H Page 29
2024-2025,H,H14,Check off criteria used in awarding institutional aid. Check all that apply.,H14 Check off criteria used in awarding institutional aid. Check all that apply. Non-Need Based Need-Based Academics X X Alumni affiliation X Art X Athletics X Job skills ROTC Leadership X X Music/drama X Religious affiliation X State/district residency X
2024-2025,H,H15,"If your institution has recently implemented any major financial aid policy, program, or initiative to make your institution more","H15 If your institution has recently implemented any major financial aid policy, program, or initiative to make your institution more affordable to incoming students such as replacing loans with grants, or waiving costs for families below a certain income level please provide details below: The Caro"
2024-2025,J,J1,"Degrees conferred between July 1, 2023 and June 30, 2024","J1 Degrees conferred between July 1, 2023 and June 30, 2024 For each of the following discipline areas, provide the percentage of diplomas/certificates, associate, and bachelor’s degrees awarded. To determine the percentage, use majors, not headcount (e.g., students with one degree but a double majo"
2023-2024,A,A0,. Respondent Information (not for publication),"A0. Respondent Information (not for publication) First Name: Last Name: Title: Office: Institutional Research and Assessment Address: 311 Henry Owl Building, CB#3350 City: Chapel Hill State: North Carolina Zip: 27599‐3350 Country: United States Phone Number: 919‐962‐1500 Extension: Email Address: Ar"
2023-2024,A,A0A,. Comments About CDS (not for publication),"A0A. Comments About CDS (not for publication) We invite you to indicate if there are items on the CDS for which you cannot use the requested analytic convention, cannot provide data for the cohort requested, whose methodology is unclear, or about which you have questions or comments in general. This"
2023-2024,A,A1,. Address Information,A1. Address Information Please enter general institution information below: Name of College or University University of North Carolina at Chapel Hill Street Address: City: Chapel Hill State: North Carolina Zip: 27599 Country: United States Main Institution Phone Number: 919‐962‐2211 Main Institution
2023-2024,A,A2,. Source of Institutional Control: (click to select from dropdown),A2. Source of Institutional Control: (click to select from dropdown) Public
2023-2024,A,A3,. Classify your undergraduate institution: (click to select from dropdown),A3. Classify your undergraduate institution: (click to select from dropdown) Coeducational
2023-2024,A,A4,. Academic year calendar: (click to select from dropdown),A4. Academic year calendar: (click to select from dropdown) Semester
2023-2024,A,A4A,. Describe if calendar differs by program or other:,A4A. Describe if calendar differs by program or other:
2023-2024,A,A5,. Degrees offered by your institution (select all that apply).,A5. Degrees offered by your institution (select all that apply). Certificate Master's Diploma Post‐Master's certificate Associate Doctoral degree ‐ research/scholarship Terminal Doctoral degree ‐ professional practice Transfer Doctoral degree ‐ other Bachelor's Post‐Bachelor's certificate UNC ‐ Chap
2023-2024,A,A6,". Diversity, Equity, and Inclusion","A6. Diversity, Equity, and Inclusion If you have a diversity, equity, and inclusion office or department, please provide the URL of the corresponding Web page: https://diversity.unc.edu/ END OF SECTION A UNC ‐ Chapel Hill CDS 2023‐2024 Publication Date: 6/3/2024 Last Revision Date: 7/16/2024"
2023-2024,B,B1,. Institutional Enrollment,"B1. Institutional Enrollment Provide numbers of students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2023. 1. Report students formaly designated as ""first professional"" in the graduate counts. 2. If your institution collects and repo"
2023-2024,B,B2,. Enrollment by Racial/Ethnic Category,"B2. Enrollment by Racial/Ethnic Category Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2023. 1. Include international students only in the category ""Nonresidents."" 2. Complete the “Total Underg"
2023-2024,B,B3,. Persistence / Degrees,"B3. Persistence / Degrees Number of degrees awarded by your institution from July 1, 2022, to June 30, 2023. Certificate/Diploma Associate's Degrees Bachelor's Degrees 4,939 Post‐Bachelor's Degrees Master's Degrees 2,810 Post‐Master's Degrees 6 Doctoral degree ‐ Doctoral degree ‐ 544 709 research/sc"
2023-2024,B,B4,‐ B21. Graduation Rates,"B4 ‐ B21. Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web‐based Data Collection System’s Graduation For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2023‐2024 Survey. https://nces.ed.gov/ipe"
2023-2024,B,B22,. Retention Rates,"B22. Retention Rates Report for the cohort of all full‐time, first‐time bachelor’s (or equivalent) degree‐seeking undergraduate students who entered in Fall 2022 (or the preceding summer term). The initial cohort may be adjusted for students who departed for the following reasons: * Death * Permanen"
2023-2024,C,C1,". Applications: First-time, First-year Students","C1. Applications: First-time, First-year Students Provide the number of degree‐seeking, first‐time, first‐year students who applied, were admitted, and enrolled (full‐ or part‐time) in Fall 2023. ‐ Include early decision, early action, and students who began studies during summer in this cohort. ‐ A"
2023-2024,C,C2,". Applications: First-time, First-year Wait-Listed Students","C2. Applications: First-time, First-year Wait-Listed Students Students who met admission requirements but whose final admission was contingent on space availablity. Do you have a policy of placing students on a waiting list? Yes Select from the dropdown menu. If yes, please answer the questions belo"
2023-2024,C,C3,. Admission Requirements: High School Completion Requirement,C3. Admission Requirements: High School Completion Requirement Does your institution require high school completion for degree‐seeking entering students? Select from dropdown. High school diploma is required and GED is not accepted
2023-2024,C,C4,. Admission Requirements: General College-Prepatory Program,C4. Admission Requirements: General College-Prepatory Program Does your institution require OR recommend a general college‐preparatory program for degree‐seeking students? Select from dropdown. Require UNC ‐ Chapel Hill CDS 2023‐2024 Publication Date: 6/3/2024 Last Revision Date: 7/16/2024
2023-2024,C,C5,. Admission Requirements: High School Units Required/Recommended,C5. Admission Requirements: High School Units Required/Recommended Specify the distribution of academic high school course unites required and/or recommend of all or most degree‐seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a different system
2023-2024,C,C6,. Basis for Selection: Open Admission Policy,"C6. Basis for Selection: Open Admission Policy Does your institution have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? Select the most app"
2023-2024,C,C7,. Basis for Selection: Relative Importance of Factors in Admission Decisions,"C7. Basis for Selection: Relative Importance of Factors in Admission Decisions Please indicate the relative importance of each of the following academic and non‐academic factors in your first‐time, first‐year degree‐ seeking general admission decisions (not including programs with specific criteria)"
2023-2024,C,C8,. SAT and ACT Policies,"C8. SAT and ACT Policies Does your institution make use of SAT or ACT scores in admissions decisions for first‐time, first‐year, degree‐ Yes seeking applicants? If yes, please select the appropriate response from the dropdown menus for each possible option below for admission for Fall 2025. SAT and/"
2023-2024,C,C9,". First‐time, first‐year profile: National standardized test scores (SAT/ACT)","C9. First‐time, first‐year profile: National standardized test scores (SAT/ACT) Provide information for all enrolled, degree‐seeking, full‐time and part‐time, first‐time, first‐year students enrolled in Fall 2023, including students who began studies during summer, international students/nonresident"
2023-2024,C,C10,. Class Rank Ranges,"C10. Class Rank Ranges Percent of all degree‐seeking, first‐time, first‐year students who had high school class rank within each of the following ranges (report information for those students from whom you collected high school rank information). Class Rank Range Percent Percent in top tenth of high"
2023-2024,C,C11,. High School Grade Point Ranges,"C11. High School Grade Point Ranges Percentage of all enrolled, degree‐seeking, first‐time, first‐year students who had high school grade‐point averages within each of the following ranges (using 4.0 scale). 1. Report information only for those students from whom you collected high school GPA. 2. If"
2023-2024,C,C12,. Average High School GPA,"C12. Average High School GPA Average high school GPA of all degree‐seeking, first‐time, first‐year students who submitted GPA: 4.5 Percent of total first‐time, first‐year students who submitted high school GPA: 91.2%"
2023-2024,C,C13,. Application Fee,"C13. Application Fee Does your institution have an application fee? Yes If your institution has waived its application fee for the Fall 2025 application cycle, please select no. If yes, what is the amount of the application fee: $85.00 If yes, can the fee be waived for applicants with financial need"
2023-2024,C,C14,. Application Closing Date,"C14. Application Closing Date Does your institution have an application closing date? Yes If yes, please enter the dates below: Please use the following format: (MM/DD) Application Closing Date (Fall) 1/15 Priority Date 10/15"
2023-2024,C,C15,". First‐time, first‐year student acceptance other than Fall","C15. First‐time, first‐year student acceptance other than Fall Are first‐time, first‐year students accepted for terms other than the Fall? No"
2023-2024,C,C16,. Admissions Notification to Applicants,C16. Admissions Notification to Applicants UNC ‐ Chapel Hill CDS 2023‐2024 Publication Date: 6/3/2024 Last Revision Date: 7/16/2024 Are notifications to applicants of admission decision sent on a rolling basis? No What date do rolling notifications begin? (MM/DD) If notifications of admission decisi
2023-2024,C,C17,. Reply Policy for Applicants,"C17. Reply Policy for Applicants What is your institution's reply policy for admitted applicants? (select from dropdown menu and related follow‐up textbox) Must reply by set date If you selected reply by May 1st or within a set number of weeks, please enter number of weeks: If you selected specific "
