year,section,field,label,raw_preview
2022-2023,C,C8,: SAT and ACT Policies,"C8: SAT and ACT Policies Entrance exams Yes No Does your institution make use of SAT, ACT, or SAT Subject Test scores in admission decisions for first-time, first-year, degree-seeking applicants? *See Note * First-year applicants to Penn State will be able to choose whether to submit SAT or ACT scor"
2022-2023,C,C8A,"If yes, place check marks in the appropriate boxes below to reflect your","C8A If yes, place check marks in the appropriate boxes below to reflect your institution’s policies for use in admission for Fall 2023. ADMISSION Consider if Not Require Recommend Require for Some Submitted Considered SAT or ACT X ACT Only SAT Only"
2022-2023,C,C8B,Has been removed from the CDS.,C8B Has been removed from the CDS.
2022-2023,C,C8C,Has been removed from the CDS.,C8C Has been removed from the CDS.
2022-2023,C,C8D,"In addition, does your institution use applicants' test scores for academic advising?","C8D In addition, does your institution use applicants' test scores for academic advising? X Yes No Latest date by which SAT or ACT scores must be received for fall-term admission Rolling Admissions"
2022-2023,C,C8E,,"C8E Latest date by which SAT Subject Test scores must be received for fall-term admission If necessary, use this space to clarify your test policies First-year applicants to Penn State will be able to choose"
2022-2023,C,C8F,,"C8F (e.g., if tests are recommended for some students, or if whether to submit SAT or ACT scores through tests are not required of some students due to differences Summer/Fall 2025. by academic program, student academic background, or if other examinations may be considered in lieu of the SAT and AC"
2022-2023,C,C8G,"Please indicate which tests your institution uses for placement (e.g., state tests):","C8G Please indicate which tests your institution uses for placement (e.g., state tests): X SAT X ACT SAT Subject Tests X AP CLEP X Institutional Exam State Exam (specify):"
2022-2023,C,C9,"-C12: First-time, first-year Profile","C9-C12: First-time, first-year Profile Provide information for ALL enrolled, degree-seeking, full-time and part- time, first-time, first-year students enrolled in Fall 2022, including students who began studies during summer, international students/nonresidents, and students admitted under special a"
2022-2023,C,C10,the following ranges (report information for those students from whom you collected high school rank,C10 the following ranges (report information for those students from whom you collected high school rank information) Assessment Percent Percent in top tenth of high school graduating class 33% Percent in top quarter of high school graduating class 68% Percent in top half of high school graduating c
2022-2023,C,C11,averages within each of the following ranges (using 4.0 scale). Report information only for those students,C11 averages within each of the following ranges (using 4.0 scale). Report information only for those students from whom you collected high school GPA. Score Range Percent Percent who had GPA of 4.0 Percent who had GPA between 3.75 and 3.99 47.91% Percent who had GPA between 3.50 and 3.74 25.87% Per
2022-2023,C,C12,who submitted GPA:,"C12 who submitted GPA: Percent of total first-time, first-year students who submitted high school GPA: 93.03% Page 15 CDS_2022-2023_University Park_Form"
2022-2023,C,C13,-C20: Admission Policies,"C13-C20: Admission Policies C13 Application Fee If your institution has waived its application fee for the Fall 2024 admission cycle please select no. Yes No X Does your institution have an application fee? Amount of application fee: $65, $75 for International Students Yes No Can it be waived for ap"
2022-2023,C,C14,Application closing date,C14 Application closing date Yes No Does your institution have an application closing date? X Date Application closing date (fall) Priority Date Page 16 CDS_2022-2023_University Park_Form Yes No
2022-2023,C,C15,"Are first-time, first-year students accepted for terms other than the fall?                   X","C15 Are first-time, first-year students accepted for terms other than the fall? X"
2022-2023,C,C16,Notification to applicants of admission decision sent (fill in one only),C16 Notification to applicants of admission decision sent (fill in one only) On a rolling basis beginning (date): 1-Oct By (date): Other:
2022-2023,C,C17,Reply policy for admitted applicants (fill in one only),"C17 Reply policy for admitted applicants (fill in one only) Must reply by (date): No set date X Must reply by May 1st or within 2 weeks if notified thereafter Other: Deadline for housing deposit (MMDD): 1-May X Amount of housing deposit: $100 Refundable if student does not enroll? Yes, in full Yes, "
2022-2023,C,C18,Deferred admission,"C18 Deferred admission Yes No Does your institution allow students to postpone enrollment after admission? X X If yes, maximum period of postponement: One Year"
2022-2023,C,C19,Early admission of high school students,"C19 Early admission of high school students Yes No Does your institution allow high school students to enroll as full-time, first-time, first-year students one year or more before high school graduation? X Page 17 CDS_2022-2023_University Park_Form"
2022-2023,C,C20,Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle),C20 Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle)
2022-2023,C,C21,-C22: Early Decision and Early Action Plans,C21-C22: Early Decision and Early Action Plans C21 Early Decision Yes No Does your institution offer an early decision plan (an admission plan that permits students to apply and be notified of an admission decision well in advance of the regular notification date and that asks students to commit to 
2022-2023,C,C22,Early action,"C22 Early action Yes No Do you have a nonbinding early action plan whereby students are notified of an X admission decision well in advance of the regular notification date but do not If “yes,” please complete the following: Early action closing date Nov. 1 Early action notification date Dec. 24th Y"
2022-2023,D,D1,-D2: Fall Applicants,"D1-D2: Fall Applicants Yes No D1 Does your institution enroll transfer students? (If no, please X skip to Section E) If yes, may transfer students earn advanced standing credit by transferring credits earned from course work completed at X other colleges/universities?"
2022-2023,D,D2,"Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer","D2 Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer students in Fall 2022. If your institution collects and reports non-binary gender data, please use the ""Another Gender"" category. Applicants Admitted Enrolled Men 870 493 234 Women 805 456 188 Anoth"
2022-2023,D,D3,-D11: Application for Admission,D3-D11: Application for Admission D3 Indicate terms for which transfers may enroll: X Fall Winter X Spring X Summer Yes No
2022-2023,D,D4,Must a transfer applicant have a minimum number of credits,"D4 Must a transfer applicant have a minimum number of credits completed or else must apply as an entering first-year X student? If yes, what is the minimum number of credits and the unit of measure? 18"
2022-2023,D,D5,Indicate all items required of transfer students to apply for admission:,D5 Indicate all items required of transfer students to apply for admission: Recommended Recommended Required of All Required of Some Not Required of All of Some High school transcript X College transcript(s) X Essay or personal X Interview X Standardized test scores X Statement of good standing from
2022-2023,D,D6,If a minimum high school grade point average is required of      We require the basic Carnegie units but not a,"D6 If a minimum high school grade point average is required of We require the basic Carnegie units but not a transfer applicants, specify (on a 4.0 scale): minimum GPA Page 19 CDS_2022-2023_University Park_Form"
2022-2023,D,D7,If a minimum college grade point average is required of            Minimum 2.0,"D7 If a minimum college grade point average is required of Minimum 2.0 transfer applicants, specify (on a 4.0 scale): GPA"
2022-2023,D,D8,List any other application requirements specific to transfer applicants:,D8 List any other application requirements specific to transfer applicants:
2022-2023,D,D9,"List application priority, closing, notification, and candidate reply dates for transfer students. If applications","D9 List application priority, closing, notification, and candidate reply dates for transfer students. If applications are reviewed on a continuous or rolling basis, place a check mark in the “Rolling admission” column. D9 Priority Date Closing Date Notification Date Reply Date Rolling Admission D9 F"
2022-2023,D,D10,"Does an open admission policy, if reported, apply to transfer                              X","D10 Does an open admission policy, if reported, apply to transfer X"
2022-2023,D,D11,"Describe additional requirements for transfer admission, if applicable:","D11 Describe additional requirements for transfer admission, if applicable:"
2022-2023,D,D12,-D17: Transfer Credit Policies,D12-D17: Transfer Credit Policies D12 Report the lowest grade earned for any 2.00 Number Unit Type
2022-2023,D,D13,Maximum number of credits or courses that may be,D13 Maximum number of credits or courses that may be transferred from a two-year institution: No Limit Number Unit Type
2022-2023,D,D14,Maximum number of credits or courses that may be,D14 Maximum number of credits or courses that may be transferred from a four-year institution: No Limit
2022-2023,D,D15,Minimum number of credits that transfers must complete at,D15 Minimum number of credits that transfers must complete at your institution to earn an associate degree: 18.00
2022-2023,D,D16,Minimum number of credits that transfers must complete at,D16 Minimum number of credits that transfers must complete at your institution to earn a bachelor’s degree: 36.00
2022-2023,D,D17,Describe other transfer credit policies:,D17 Describe other transfer credit policies: Page 20 CDS_2022-2023_University Park_Form
2022-2023,D,D18,-D22: Military Service Transfer Credit Policies,D18-D22: Military Service Transfer Credit Policies D18 Does your institution accept the following military/veteran transfer credits: Yes No American Council on Education (ACE) X College Level Examination Program (CLEP) X DANTES Subject Standardized Tests (DSST) X Number Unit Type
2022-2023,D,D19,Maximum number of credits or courses that may be,D19 Maximum number of credits or courses that may be transferred based on military education evaluated by the 0 No Units American Council on Education (ACE): Number Unit Type
2022-2023,D,D20,Maximum number of credits or courses that may be transferred,D20 Maximum number of credits or courses that may be transferred based on Department of Defense supported prior learning 0 No Units assessments (College Level Examination Program (CLEP) or DANTES Subject Standardized Tests (DSST)): No Yes
2022-2023,D,D21,Are the military/veteran credit transfer policies published on your,"D21 Are the military/veteran credit transfer policies published on your X website? If yes, please provide the URL where the policy can be located: https://admissions.psu.edu/info/future/adult/credit/"
2022-2023,D,D22,Describe other military/veteran transfer credit policies unique to your institution:,D22 Describe other military/veteran transfer credit policies unique to your institution: Page 21 CDS_2022-2023_University Park_Form
2022-2023,E,E1,Special study options: Identify those programs available at your institution. Refer to the glossary,E1 Special study options: Identify those programs available at your institution. Refer to the glossary for definitions. X Accelerated program X Comprehensive transition and postsecondary program for students with intellectual disabilities X Cross-registration X Distance learning X Double major X Dua
2022-2023,E,E2,Has been removed from the CDS.,E2 Has been removed from the CDS.
2022-2023,E,E3,Areas in which all or most students are required to complete some course,E3 Areas in which all or most students are required to complete some course work prior to graduation: X Arts/fine arts X Computer literacy X English (including composition) X Foreign languages History X Physical Education X Humanities X Intensive writing X Mathematics Philosophy X Sciences (biologic
2022-2023,F,F1,"Percentages of first-time, first-year degree-seeking students and degree-seeking","F1 Percentages of first-time, first-year degree-seeking students and degree-seeking undergraduates enrolled in Fall 2022 who fit the following categories: First-time, first- Undergraduates year students Percent who are from out of state (exclude international/nonresidents from the numerator and deno"
2022-2023,F,F2,Activities offered. Identify those programs available at your institution.,F2 Activities offered. Identify those programs available at your institution. X Campus Ministries X Choral groups X Concert band X Dance X Drama/theater X International Student Organization X Jazz band X Literary magazine X Marching band X Model UN X Music ensembles X Musical theater X Opera X Pep b
2022-2023,F,F3,ROTC (program offered in cooperation with Reserve Officers' Training Corps),F3 ROTC (program offered in cooperation with Reserve Officers' Training Corps) Name of Marine Option At Cooperating On Campus Cooperating (for Naval ROTC) Institution Institution X Army ROTC is offered: X X Naval ROTC is offered: X Air Force ROTC is offered:
2022-2023,F,F4,"Housing: Check all types of college-owned, -operated, or -affiliated housing available for","F4 Housing: Check all types of college-owned, -operated, or -affiliated housing available for undergraduates at your institution. X Coed dorms Men's dorms X Women's dorms X Apartments for married students X Apartments for single students X Special housing for disabled students Special housing for in"
2022-2023,G,G0,Please provide the URL of your institution’s net price calculator:,G0 Please provide the URL of your institution’s net price calculator: https://cce.ais.psu.edu/netprice-calculator/ Provide 2023-2024 academic year costs of attendance for the following categories that are applicable to your institution. X Check here if your institution's 2023-2024 academic year cost
2022-2023,G,G1,"Undergraduate full-time tuition, required fees, room and board","G1 Undergraduate full-time tuition, required fees, room and board List the typical tuition, required fees, and room and board for a full-time undergraduate student for the FULL 2023-2024 academic year. (30 semester hours or 45 quarter hours for institutions that derive annual tuition by multiplying "
2022-2023,G,G2,Number of credits per term a student can take for the stated,G2 Number of credits per term a student can take for the stated 12 minimum None Maximum full-time tuition. Yes No
2022-2023,G,G3,"Do tuition and fees vary by year of study (e.g., sophomore,","G3 Do tuition and fees vary by year of study (e.g., sophomore, X junior, senior)?"
2022-2023,G,G4,Do tuition and fees vary by undergraduate instructional,"G4 Do tuition and fees vary by undergraduate instructional program? X If yes, what percentage of full-time undergraduates pay more than the tuition and fees reported in G1?"
2022-2023,G,G5,Provide the estimated expenses for a typical full-time undergraduate student:,"G5 Provide the estimated expenses for a typical full-time undergraduate student: Commuters Commuters Residents (living at home) (not living at home) Books and supplies: $1,840.00 $1,840.00 $1,840.00 Room only: $7,374.00 $7,374.00 Board only: $5,610.00 $1,000.00 $5,610.00 Room and board total* $12,98"
2022-2023,G,G6,Undergraduate per-credit-hour charges (tuition only):,"G6 Undergraduate per-credit-hour charges (tuition only): PRIVATE INSTITUTIONS: PUBLIC INSTITUTIONS: In-district: $804.00 In-state (out-of-district): $804.00 Out-of-state: $1,588.00 NONRESIDENTS: $1,588.00 Page 26 CDS_2022-2023_University Park_Form"
2022-2023,H,H1,Enter total dollar amounts awarded to enrolled full-time and less than full-time degree-seeking,"H1 Enter total dollar amounts awarded to enrolled full-time and less than full-time degree-seeking undergraduates (using the same cohort reported in CDS Question B1, “total degree-seeking” undergraduates) in the following categories. • If the data being reported are final figures for the 2021-2022 a"
2022-2023,H,H2,", H2A, and H6 below:","H2, H2A, and H6 below: Which needs-analysis methodology does your institution use in awarding institutional aid? (Formerly H3) X Federal methodology (FM) Institutional methodology (IM) Both FM and IM Need-based Non-need- Scholarships/Grants Federal $31,047,465 $171,828 State all states, not only the"
2022-2023,H,H2A,Number of Enrolled Students Awarded Non-need-based Scholarships and Grants: List the number of,H2A Number of Enrolled Students Awarded Non-need-based Scholarships and Grants: List the number of degree-seeking full-time and less-than-full-time undergraduates who had no financial need and who were awarded institutional non-need-based scholarship or grant aid. • Numbers should reflect the cohort
2022-2023,H,H4,Provide the number of students in the 2022 undergraduate class who started at,"H4 Provide the number of students in the 2022 undergraduate class who started at your institution as first-time students and received a bachelor's degree between 6,991 July 1, 2021 and June 30, 2022. Exclude students who transferred into your institution."
2022-2023,H,H5,". Number and percent of students in class (defined in H4 above) borrowing from federal, non-federal,","H5. Number and percent of students in class (defined in H4 above) borrowing from federal, non-federal, and any loan sources, and the average (or mean) amount borrowed. • The “Average per-undergraduate-borrower cumulative principal borrowed,” is designed to provide better information about student bo"
2022-2023,H,H6,Indicate your institution’s policy regarding institutional scholarship and grant aid for undergraduate degree-,H6 Indicate your institution’s policy regarding institutional scholarship and grant aid for undergraduate degree- seeking nonresidents: Institutional need-based scholarship or grant aid is available Institutional non-need-based scholarship or grant aid is available X Institutional scholarship or gra
2022-2023,H,H7,Check off all financial aid forms nonresident first-year financial aid applicants must submit:,H7 Check off all financial aid forms nonresident first-year financial aid applicants must submit: Institution’s own financial aid form CSS/Financial Aid PROFILE International Student’s Financial Aid Application International Student’s Certification of Finances Other (specify): Process for First-Year
2022-2023,H,H8,Check off all financial aid forms domestic first-year financial aid applicants must submit:,H8 Check off all financial aid forms domestic first-year financial aid applicants must submit: X FAFSA Institution's own financial aid form CSS/Financial Aid PROFILE State aid form Noncustodial PROFILE Business/Farm Supplement Other (specify):
2022-2023,H,H9,Indicate filing dates for first-year students:,H9 Indicate filing dates for first-year students: Priority date for filing required financial aid forms: February 15 recommended Deadline for filing required financial aid forms: No deadline for filing required forms (applications X processed on a rolling basis) Page 32 CDS_2022-2023_University Park
2022-2023,H,H10,Indicate notification dates for first-year students (answer a or b):,"H10 Indicate notification dates for first-year students (answer a or b): a) Students notified on or about (date): b) Students notified on a rolling basis: X Yes No If yes, starting date: March"
2022-2023,H,H11,Indicate reply dates:,H11 Indicate reply dates: Students must reply by (date): N/A or within _______ weeks of notification. N/A Types of Aid Available Please check off all types of aid available to undergraduates at your institution:
2022-2023,H,H12,Loans,H12 Loans X Direct Subsidized Stafford Loans X Direct Unsubsidized Stafford Loans X Direct PLUS Loans Federal Perkins Loans Federal Nursing Loans State Loans X College/university loans from institutional funds X Other (specify): Private Loans
2022-2023,H,H13,Need Based Scholarships and Grants,H13 Need Based Scholarships and Grants X Federal Pell X SEOG X State scholarships/grants X Private scholarships X College/university scholarship or grant aid from institutional funds X United Negro College Fund Federal Nursing Scholarship Other (specify): Page 33 CDS_2022-2023_University Park_Form
2022-2023,H,H14,Check off criteria used in awarding institutional aid. Check all that apply.,H14 Check off criteria used in awarding institutional aid. Check all that apply. Non-Need Based Need-Based Academics X X Alumni affiliation X X Art Athletics X X Job skills ROTC X Leadership Minority status Music/drama Religious affiliation State/district residency
2022-2023,H,H15,"If your institution has recently implemented any major financial aid policy, program, or","H15 If your institution has recently implemented any major financial aid policy, program, or Are these policies related to the COVID-19 pandemic? Yes No Page 34 CDS_2022-2023_University Park_Form"
2022-2023,J,J1,"Degrees conferred between July 1, 2021 and June 30, 2022","J1 Degrees conferred between July 1, 2021 and June 30, 2022 For each of the following discipline areas, provide the percentage of diplomas/certificates, associate, and bachelor’s degrees awarded. To determine the percentage, use majors, not headcount (e.g., students with one degree but a double majo"
2019-2020,B,B1,. Institutional Enrollment—Men and Women Provide numbers of students for each of the following categories as of,"B1. Institutional Enrollment—Men and Women Provide numbers of students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2019. Note: Report students formerly designated as “first professional” in the graduate cells. Please see: https://nce"
2019-2020,B,B2,. Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following,"B2. Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2019. Include international students only in the category ""Nonresident aliens."" Complete the “Total Under"
2019-2020,B,B3,". Number of degrees awarded by your institution from July 1, 2018, to June 30, 2019.","B3. Number of degrees awarded by your institution from July 1, 2018, to June 30, 2019. Certificate/diploma 640 Associate degrees 2 Bachelor’s degrees 10893 Postbachelor’s certificates 27 Master’s degrees 1409 Post-master’s certificates 0 Doctoral degrees – research/scholarship 632 Doctoral degrees –"
2019-2020,B,B12,". Initial 2015 cohort, total of first-time, full-time       B12. Initial 2016 cohort, total of first-time, full-time","B12. Initial 2015 cohort, total of first-time, full-time B12. Initial 2016 cohort, total of first-time, full-time degree/certificate-seeking students: __________________ degree/certificate-seeking students: __________________"
2019-2020,B,B13,". Of the initial 2015 cohort, how many did not persist      B13. Of the initial 2016 cohort, how many did not persist","B13. Of the initial 2015 cohort, how many did not persist B13. Of the initial 2016 cohort, how many did not persist and did not graduate for the following reasons: death, and did not graduate for the following reasons: death, permanently disability, or service in the armed forces, permanently disabi"
2019-2020,B,B14,". Final 2015 cohort, after adjusting for allowable          B14. Final 2016 cohort, after adjusting for allowable","B14. Final 2015 cohort, after adjusting for allowable B14. Final 2016 cohort, after adjusting for allowable exclusions___________________ exclusions___________________ (Subtract question B13 from question B12) (Subtract question B13 from question B12)"
2019-2020,B,B15,. Completers of programs of less than two years            B15. Completers of programs of less than two years,B15. Completers of programs of less than two years B15. Completers of programs of less than two years duration (total): ___________________ duration (total): ___________________
2019-2020,B,B16,. Completers of programs of less than two years            B16. Completers of programs of less than two years,B16. Completers of programs of less than two years B16. Completers of programs of less than two years within 150 percent of normal time: ____________ within 150 percent of normal time: ____________
2019-2020,B,B17,. Completers of programs of at least two but less than     B17. Completers of programs of at least two but less than,B17. Completers of programs of at least two but less than B17. Completers of programs of at least two but less than four years (total): _______________ four years (total): _______________
2019-2020,B,B18,. Completers of programs of at least two but less than     B18. Completers of programs of at least two but less than,B18. Completers of programs of at least two but less than B18. Completers of programs of at least two but less than four-years within 150 percent of normal time: four-years within 150 percent of normal time: ____________ ____________
2019-2020,B,B19,. Total transfers-out (within three years) to other        B19. Total transfers-out (within three years) to other,B19. Total transfers-out (within three years) to other B19. Total transfers-out (within three years) to other institutions: _________________ institutions: _________________
2019-2020,B,B20,. Total transfers to two-year institutions:                B20. Total transfers to two-year institutions:,B20. Total transfers to two-year institutions: B20. Total transfers to two-year institutions: __________________ __________________
2019-2020,B,B21,. Total transfers to four-year institutions:               B21. Total transfers to four-year institutions:,"B21. Total transfers to four-year institutions: B21. Total transfers to four-year institutions: __________________ __________________ Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 2018 (or the p"
2019-2020,B,B22,. For the cohort of all full-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered your,"B22. For the cohort of all full-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered your institution as freshmen in Fall 2018 (or the preceding summer term), what percentage was enrolled at your institution as of the date your institution calculates its official enrollm"
2019-2020,C,C1,". First-time, first-year (freshman) students: Provide the number of degree-seeking, first-time, first-year students who","C1. First-time, first-year (freshman) students: Provide the number of degree-seeking, first-time, first-year students who applied, were admitted, and enrolled (full- or part-time) in Fall 2019. Include early decision, early action, and students who began studies during summer in this cohort. Applica"
2019-2020,C,C2,. Freshman wait-listed students (students who met admission requirements but whose final admission was,"C2. Freshman wait-listed students (students who met admission requirements but whose final admission was contingent on space availability) Do you have a policy of placing students on a waiting list? Yes No If yes, please answer the questions below for Fall 2019 admissions: Number of qualified applic"
2019-2020,C,C3,. High school completion requirement,C3. High school completion requirement Check the appropriate box to identify your high school completion requirement for degree-seeking entering students: High school diploma is required and GED is accepted High school diploma is required and GED is not accepted High school diploma or equivalent is 
2019-2020,C,C4,. Does your institution require or recommend a general college-preparatory program for degree-seeking students?,C4. Does your institution require or recommend a general college-preparatory program for degree-seeking students? Require Recommend Neither require nor recommend
2019-2020,C,C5,. Distribution of high school units required and/or recommended. Specify the distribution of academic high school,C5. Distribution of high school units required and/or recommended. Specify the distribution of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a different syste
2019-2020,C,C6,". Do you have an open admission policy, under which virtually all secondary school graduates or students with GED","C6. Do you have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? If so, check which applies: Open admission policy as described above for all "
2019-2020,C,C7,". Relative importance of each of the following academic and nonacademic factors in your first-time, first-year,","C7. Relative importance of each of the following academic and nonacademic factors in your first-time, first-year, degree-seeking (freshman) admission decisions. Very Important Important Considered Not Considered Academic Rigor of secondary school record Class rank Academic GPA Standardized test scor"
2019-2020,C,C8,. Entrance exams,"C8. Entrance exams A. Does your institution make use of SAT, ACT, or SAT Subject Test scores in admission decisions for first-time, first-year, degree-seeking applicants? Yes No If yes, place check marks in the appropriate boxes below to reflect your institution’s policies for use in admission for F"
2019-2020,C,C9,". Percent and number of first-time, first-year (freshman) students enrolled in Fall 2019 who submitted national","C9. Percent and number of first-time, first-year (freshman) students enrolled in Fall 2019 who submitted national standardized (SAT/ACT) test scores. Include information for ALL enrolled, degree-seeking, first-time, first-year (freshman) students who submitted test scores. Do not include partial tes"
